origin_iata,origin_city,origin_state,dest_iata,dest_city,dest_state,origin_coordinates,dest_coordinates,distance_nm,aircraft,ac_seats,ac_range_nm,capability_ratio,flag,revia_variant,source,verification
DAL,Dallas,TX,AUS,Austin,TX,"[-96.8518, 32.8471]","[-97.6699, 30.1945]",164.7,Boeing 737-800,160,2935,17.8,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
JFK,New York,NY,BOS,Boston,MA,"[-73.7789, 40.6398]","[-71.0052, 42.3643]",162.1,Embraer 190,100,2800,17.3,SEVERE,R-100,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
ORD,Chicago,IL,DTW,Detroit,MI,"[-87.9048, 41.9786]","[-83.3534, 42.2124]",203.2,Airbus A320,150,3300,16.2,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
PHX,Phoenix,AZ,TUS,Tucson,AZ,"[-112.012, 33.4343]","[-110.941, 32.1161]",95.8,CRJ-900,76,1550,16.2,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
LAX,Los Angeles,CA,LAS,Las Vegas,NV,"[-118.408, 33.9425]","[-115.152, 36.0801]",205.2,Airbus A320,150,3300,16.1,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
ATL,Atlanta,GA,CLT,Charlotte,NC,"[-84.4281, 33.6367]","[-80.9431, 35.214]",196.9,Boeing 737-900,178,2950,15.0,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
DFW,Dallas,TX,IAH,Houston,TX,"[-97.038, 32.8968]","[-95.3414, 29.9844]",195.3,Boeing 737-800,160,2935,15.0,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
PHX,Phoenix,AZ,LAS,Las Vegas,NV,"[-112.012, 33.4343]","[-115.152, 36.0801]",221.8,Airbus A320,150,3300,14.9,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
DAL,Dallas,TX,HOU,Houston,TX,"[-96.8518, 32.8471]","[-95.2789, 29.6454]",208.5,Boeing 737-800,160,2935,14.1,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
BOS,Boston,MA,LGA,New York,NY,"[-71.0052, 42.3643]","[-73.8726, 40.7772]",160.2,Embraer 175 (long wing),76,2200,13.7,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
LAX,Los Angeles,CA,SFO,San Francisco,CA,"[-118.408, 33.9425]","[-122.375, 37.619]",293.3,Airbus A321neo,200,4000,13.6,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
CLE,Cleveland,OH,ORD,Chicago,IL,"[-81.8498, 41.4117]","[-87.9048, 41.9786]",273.5,Airbus A319,128,3700,13.5,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
MDW,Chicago,IL,STL,St. Louis,MO,"[-87.7524, 41.786]","[-90.37, 38.7487]",218.2,Boeing 737-800,160,2935,13.5,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
MSP,Minneapolis,MN,ORD,Chicago,IL,"[-93.2218, 44.882]","[-87.9048, 41.9786]",290.0,Airbus A319,128,3700,12.8,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
DCA,Washington,DC,BOS,Boston,MA,"[-77.0377, 38.8521]","[-71.0052, 42.3643]",346.4,Airbus A320,150,3300,9.5,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
